조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
SMA20>SMA100 + Price>SMA200 + MACD>Signal,3,736,623,84.65,4.23,SMA20>SMA100 + Price>SMA200 + MACD>Signal
SMA20>SMA100 + EMA5>EMA20 + MACD_Hist>0,3,820,694,84.63,4.07,SMA20>SMA100 + EMA5>EMA20 + MACD_Hist>0
SMA20>SMA100 + EMA5>EMA20 + MACD>Signal,3,820,694,84.63,4.07,SMA20>SMA100 + EMA5>EMA20 + MACD>Signal
Price>SMA50 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,169,143,84.62,4.25,Price>SMA50 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
SMA20>SMA100 + Price>SMA20 + MACD_Hist>0,3,825,698,84.61,4.07,SMA20>SMA100 + Price>SMA20 + MACD_Hist>0
SMA20>SMA100 + Price>SMA20 + MACD>Signal,3,825,698,84.61,4.07,SMA20>SMA100 + Price>SMA20 + MACD>Signal
EMA10>EMA50 + Price>EMA20 + MACD_Hist>0,3,974,824,84.6,3.79,EMA10>EMA50 + Price>EMA20 + MACD_Hist>0
EMA10>EMA50 + Price>EMA20 + MACD>Signal,3,974,824,84.6,3.79,EMA10>EMA50 + Price>EMA20 + MACD>Signal
SMA20>SMA100 + EMA10>EMA50 + MACD_Hist>0,3,817,691,84.58,4.05,SMA20>SMA100 + EMA10>EMA50 + MACD_Hist>0
SMA20>SMA100 + EMA10>EMA50 + MACD>Signal,3,817,691,84.58,4.05,SMA20>SMA100 + EMA10>EMA50 + MACD>Signal
Price>SMA50 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,149,126,84.56,3.85,Price>SMA50 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
EMA10>EMA50 + Price>SMA20 + MACD>Signal,3,976,825,84.53,3.78,EMA10>EMA50 + Price>SMA20 + MACD>Signal
EMA10>EMA50 + Price>SMA20 + MACD_Hist>0,3,976,825,84.53,3.78,EMA10>EMA50 + Price>SMA20 + MACD_Hist>0
Price>EMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,155,131,84.52,3.83,Price>EMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
EMA10>EMA50 + MACD>Signal + MACD_Hist>0,3,981,829,84.51,3.75,EMA10>EMA50 + MACD>Signal + MACD_Hist>0
EMA10>EMA50 + MACD_Hist>0,2,981,829,84.51,3.75,EMA10>EMA50 + MACD_Hist>0
EMA10>EMA50 + MACD>Signal,2,981,829,84.51,3.75,EMA10>EMA50 + MACD>Signal
EMA10>EMA50 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,161,136,84.47,4.4,EMA10>EMA50 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
EMA5>EMA20 + EMA10>EMA50 + MACD_Hist>0,3,979,827,84.47,3.75,EMA5>EMA20 + EMA10>EMA50 + MACD_Hist>0
EMA5>EMA20 + EMA10>EMA50 + MACD>Signal,3,979,827,84.47,3.75,EMA5>EMA20 + EMA10>EMA50 + MACD>Signal
Price>SMA50 + MACD>Signal + VolSpike>1.5,3,180,152,84.44,4.16,Price>SMA50 + MACD>Signal + VolSpike>1.5
Price>SMA50 + MACD_Hist>0 + VolSpike>1.5,3,180,152,84.44,4.16,Price>SMA50 + MACD_Hist>0 + VolSpike>1.5
SMA20>SMA100 + SMA50>SMA200 + MACD_Hist>0,3,623,526,84.43,4.48,SMA20>SMA100 + SMA50>SMA200 + MACD_Hist>0
SMA20>SMA100 + MACD>Signal + Stoch_Cross_Up,3,212,179,84.43,3.9,SMA20>SMA100 + MACD>Signal + Stoch_Cross_Up
SMA20>SMA100 + SMA50>SMA200 + MACD>Signal,3,623,526,84.43,4.48,SMA20>SMA100 + SMA50>SMA200 + MACD>Signal
SMA20>SMA100 + MACD_Hist>0 + Stoch_Cross_Up,3,212,179,84.43,3.9,SMA20>SMA100 + MACD_Hist>0 + Stoch_Cross_Up
MACD>Signal + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,255,215,84.31,3.35,MACD>Signal + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
MACD_Hist>0 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,255,215,84.31,3.35,MACD_Hist>0 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
EMA10>EMA50 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,140,118,84.29,3.85,EMA10>EMA50 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
Price>SMA20 + ADX>25 + ThreeGreenDays,3,159,134,84.28,3.75,Price>SMA20 + ADX>25 + ThreeGreenDays
EMA10>EMA50 + Price>SMA200 + MACD_Hist>0,3,757,638,84.28,4.02,EMA10>EMA50 + Price>SMA200 + MACD_Hist>0
EMA10>EMA50 + Price>SMA200 + MACD>Signal,3,757,638,84.28,4.02,EMA10>EMA50 + Price>SMA200 + MACD>Signal
Price>SMA200 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI,3,648,546,84.26,4.3,Price>SMA200 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI
Price>SMA200 + MACD>Signal + ADX>20_PlusDI>MinusDI,3,648,546,84.26,4.3,Price>SMA200 + MACD>Signal + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + Price>SMA50 + MACD_Hist>0,3,1098,925,84.24,3.57,SMA5>SMA20 + Price>SMA50 + MACD_Hist>0
SMA10>SMA50 + ADX>25 + VolSpike>1.5,3,165,139,84.24,4.13,SMA10>SMA50 + ADX>25 + VolSpike>1.5
SMA5>SMA20 + Price>SMA50 + MACD>Signal,3,1098,925,84.24,3.57,SMA5>SMA20 + Price>SMA50 + MACD>Signal
SMA5>SMA20 + SMA20>SMA100 + ThreeGreenDays,3,171,144,84.21,3.65,SMA5>SMA20 + SMA20>SMA100 + ThreeGreenDays
EMA5>EMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,158,133,84.18,3.81,EMA5>EMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
