조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,389,0.5476,0.0236,126.5823
RSI14_과매도(30이하) + RSI7_과매도(25이하) + RSI21_과매도(30이하),3,84,0.5476,0.0691,18.0951
MACD_골든크로스 + 가격_SMA200_위 + OBV_SMA위,3,42,0.5476,0.0051,0.0118
MACD_히스토_전환(+) + 가격_SMA200_위 + OBV_SMA위,3,42,0.5476,0.0051,0.0118
MACD_히스토_증가 + SMA20_골든크로스(50) + OBV_SMA위,3,106,0.5472,0.0088,-0.141
가격_SMA200_위 + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,181,0.547,0.0031,-0.5982
RSI7_과매도(25이하) + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,353,0.5467,0.0245,79.8314
BB_%B_중간반등 + ADX14_추세상승(+DI>-DI),2,311,0.5466,0.0209,59.6063
RSI7_과매도(25이하) + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,269,0.5465,0.0245,28.0398
BB_하단터치(1.5σ) + STOCH21_과매도(20이하),2,399,0.5464,0.0225,98.8049
BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,399,0.5464,0.0225,98.8049
BB_%B_중간반등 + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,174,0.546,0.0276,18.8581
BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,568,0.5458,0.0241,1892.8902
RSI14_과매도(30이하) + BB_%B_과매도(0.2이하),2,242,0.5455,0.0321,56.3102
RSI14_과매도(30이하) + RSI14_과매도(35이하) + BB_%B_과매도(0.2이하),3,242,0.5455,0.0321,56.3102
RSI14_과매도(30이하) + MACD_히스토_증가,2,231,0.5455,0.0351,312.2826
RSI14_과매도(30이하) + RSI14_과매도(35이하) + MACD_히스토_증가,3,231,0.5455,0.0351,312.2826
가격_SMA200_위 + BB_%B_과매도(0.2이하),2,198,0.5455,0.0062,-0.2957
RSI7_과매도(25이하) + ADX14_추세상승(+DI>-DI),2,66,0.5455,0.0058,-0.0644
거래량_급증(2배이상) + OBV_SMA위,2,44,0.5455,0.0456,3.0871
거래량_급증(2배이상) + 거래량_증가(1.5배) + OBV_SMA위,3,44,0.5455,0.0456,3.0871
RSI14_중립반등(40~50) + SMA20_골든크로스(50) + 가격_SMA200_위,3,22,0.5455,-0.0017,-0.0964
RSI14_중립반등(40~50) + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,22,0.5455,0.0097,0.1494
RSI14_과매도(35이하) + RSI7_과매도(25이하) + STOCH14_과매도(20이하),3,255,0.5451,0.0294,44.7781
STOCH14_골든크로스 + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,235,0.5447,0.0092,1.7808
가격_SMA50_위 + STOCH14_골든크로스 + ADX14_강세(25이상),3,228,0.5439,0.0103,2.1072
RSI14_과매도(35이하) + MACD_히스토_증가 + BB_%B_과매도(0.2이하),3,149,0.5436,0.0419,88.755
