date,sp500,nasdaq,gold,dxy,vix,us10y
2019-06-07,258.4593505859375,173.17027282714844,1341.199951171875,96.61000061035156,16.299999237060547,2.0840001106262207
2019-06-10,259.64544677734375,175.18858337402344,1324.699951171875,96.76000213623047,15.9399995803833,2.1429998874664307
2019-06-11,259.5824279785156,175.42776489257812,1326.4000244140625,96.69000244140625,15.989999771118164,2.140000104904175
2019-06-12,259.124267578125,174.41380310058594,1331.9000244140625,97.0,15.90999984741211,2.127000093460083
2019-06-13,260.1933898925781,175.44683837890625,1339.199951171875,97.01000213623047,15.819999694824219,2.0910000801086426
2019-06-14,259.9059753417969,174.70071411132812,1340.0999755859375,97.56999969482422,15.279999732971191,2.0929999351501465
2019-06-17,260.0047912597656,175.7529296875,1338.699951171875,97.55999755859375,15.350000381469727,2.0859999656677246
2019-06-18,262.7272033691406,178.30685424804688,1346.5999755859375,97.63999938964844,15.149999618530273,2.059999942779541
2019-06-19,263.3203125,178.97642517089844,1344.5999755859375,97.12000274658203,14.329999923706055,2.0290000438690186
2019-06-20,265.8361511230469,180.64077758789062,1392.9000244140625,96.62999725341797,14.75,2.000999927520752
2019-06-21,265.44976806640625,180.3730010986328,1396.199951171875,96.22000122070312,15.399999618530273,2.068000078201294
2019-06-24,265.1246337890625,180.37875366210938,1414.300048828125,95.9800033569336,15.260000228881836,2.0209999084472656
2019-06-25,262.5243835449219,177.28228759765625,1414.9000244140625,96.16000366210938,16.280000686645508,1.99399995803833
2019-06-26,262.26251220703125,178.1067657470703,1411.5999755859375,96.20999908447266,16.209999084472656,2.0490000247955322
2019-06-27,263.19244384765625,178.78738403320312,1408.4000244140625,96.19000244140625,15.819999694824219,2.005000114440918
2019-06-28,264.546875,179.01747131347656,1409.699951171875,96.12999725341797,15.079999923706055,2.0
2019-07-01,266.9484558105469,181.43325805664062,1385.5999755859375,96.83999633789062,14.0600004196167,2.0339999198913574
2019-07-02,267.64373779296875,182.15220642089844,1404.5999755859375,96.7300033569336,12.930000305175781,1.9759999513626099
2019-07-03,269.7835388183594,183.52308654785156,1417.699951171875,96.7699966430664,12.569999694824219,1.9529999494552612
2019-07-05,269.4766540527344,183.1492156982422,1396.699951171875,97.25,13.279999732971191,2.0480000972747803
2019-07-08,267.99591064453125,181.8646697998047,1397.0,97.37999725341797,13.960000038146973,2.0339999198913574
2019-07-09,268.3299865722656,182.77537536621094,1397.5,97.48999786376953,14.09000015258789,2.053999900817871
2019-07-10,269.6120300292969,184.59678649902344,1410.0999755859375,97.0999984741211,13.029999732971191,2.061000108718872
2019-07-11,270.24407958984375,184.46258544921875,1404.300048828125,97.05000305175781,12.930000305175781,2.119999885559082
2019-07-12,271.45391845703125,185.5266876220703,1409.9000244140625,96.80999755859375,12.390000343322754,2.1059999465942383
2019-07-15,271.5442199707031,186.12100219726562,1411.4000244140625,96.93000030517578,12.680000305175781,2.0920000076293945
2019-07-16,270.6685485839844,185.16241455078125,1409.199951171875,97.4000015258789,12.859999656677246,2.121999979019165
2019-07-17,268.8265075683594,184.25164794921875,1421.300048828125,97.22000122070312,13.970000267028809,2.061000108718872
