side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
LONG,bb_width >= 58.09,bb_width,>=,58.09327341473475,9647,51.60153415569607,3.3842349013006867,2697,50.018539117538005,4.650563286722296,45.89600589927213,1.1804999460223249,3,45.36797583081571
LONG,vol_ratio >= 1.752,vol_ratio,>=,1.7515078384977463,6431,49.681231534753536,1.0819249777285904,3610,49.418282548476455,5.195926053008179,45.85523494742238,1.3335838942932747,5,44.222356495468276
LONG,bb_width >= 50.93,bb_width,>=,50.92545910913224,12862,51.259524179754315,3.04222492535893,4354,49.035369774919616,3.6673939441039067,45.79134374907358,0.7580360806215135,3,45.36797583081571
LONG,range_pct >= 13.8,range_pct,>=,13.804249667126793,9778,50.73634690120679,2.137040344181841,2878,49.72202918693537,5.499672691467097,45.73233700630523,1.2754211055392721,5,44.222356495468276
LONG,vs_ma200 <= -39.24,vs_ma200,<=,-39.23816196110317,8434,49.78657813611572,1.1872715790907762,6496,48.30665024630542,4.084293750837148,45.651428649879534,0.4140451523977512,5,44.222356495468276
LONG,vs_ma200 <= -45.94,vs_ma200,<=,-45.940023012798555,5623,49.777698737328826,1.560399482933441,3521,49.19057086055098,3.822595029735268,45.584457363175176,0.3136211989230994,3,45.36797583081571
LONG,body_pct <= -8.672,body_pct,<=,-8.671796499477344,3260,52.97546012269939,4.36541440455634,1103,51.94922937443336,8.957084359327617,45.50717523009818,0.8869286531272518,10,42.99214501510574
LONG,bb_pos >= 0.8779,bb_pos,>=,0.8779401945188195,9647,50.84482222452576,2.6275229701303715,4975,48.52261306532663,3.154637234510922,45.489409362950006,0.5365096286251321,3,45.36797583081571
LONG,vol_ratio >= 1.506,vol_ratio,>=,1.5062059014780986,9647,49.86006012231782,1.6427608679224335,5642,48.316199929103156,2.9482240982874472,45.46803814326567,0.5732654178294931,3,45.36797583081571
LONG,bb_width >= 68.96,bb_width,>=,68.9555723179872,6431,51.22064997667548,3.0033507222800964,1319,51.3267626990144,5.958786868198693,45.43651327822565,1.3929426689407443,3,45.36797583081571
LONG,size_vs_atr >= 1.479,size_vs_atr,>=,1.4786458400565374,9688,50.76383154417836,2.5465322897829736,5412,48.33702882483371,2.969052994018,45.4291833464339,0.6288341447044795,3,45.36797583081571
LONG,vol_ratio >= 1.343,vol_ratio,>=,1.3425671735027858,12862,50.22547037785725,2.0081711234618638,7771,47.81881353751126,2.450837706695552,45.3923033877492,0.4183228093109397,3,45.36797583081571
LONG,vol_ratio >= 1.752,vol_ratio,>=,1.7515078384977463,6431,51.15845125174934,2.5484055336062923,3603,48.93144601720788,5.939301002102141,45.368011582345005,2.6118215032368184,10,42.99214501510574
LONG,vs_ma200 <= -33.93,vs_ma200,<=,-33.926647902133126,11245,49.782125389061804,1.1828188320368582,9574,47.472320869020265,3.2499643735519896,45.286635952946206,0.22378943263694848,5,44.222356495468276
LONG,cc_ret <= -8.659,cc_ret,<=,-8.65866111918705,3257,53.02425544980043,4.41420973165738,1106,51.62748643761302,8.635341422507281,45.197905069886694,0.7833771638658541,10,42.99214501510574
LONG,streak <= -2,streak,<=,-2.0,14970,48.97127588510354,0.36123016696048893,11247,47.09700364541656,4.104858630310815,45.08122678213815,0.3143857328930108,10,42.99214501510574
LONG,streak <= -2,streak,<=,-2.0,14970,48.97127588510354,0.36123016696048893,11247,47.09700364541656,4.104858630310815,45.08122678213815,0.3143857328930108,10,42.99214501510574
LONG,bb_pos >= 0.9528,bb_pos,>=,0.952804594966864,6431,50.894106670813244,2.2948001137882983,3311,48.746602234974326,4.52424573950605,45.0317775019968,1.2245708629433196,5,44.222356495468276
LONG,bb_width >= 50.93,bb_width,>=,50.92545910913224,12862,52.73674389675011,4.137437339725167,4350,48.25287356321839,4.030517067750111,45.01204502046763,1.048088645056096,5,44.222356495468276
LONG,vs_ma200 <= -45.94,vs_ma200,<=,-45.940023012798555,5623,50.24008536368486,1.6407788066599167,3517,48.393517202160936,4.17116070669266,44.7909127381177,0.5033249185353403,5,44.222356495468276
LONG,vol_ratio >= 2.953,vol_ratio,>=,2.9534358651461297,1287,48.795648795648795,0.18560307750574623,739,52.63870094722598,9.646555932120236,44.77964771006287,4.142326314833581,10,42.99214501510574
LONG,dd_from_high >= -2.226,dd_from_high,>=,-2.2258920399811744,6247,53.19353289578997,4.594226338765026,2775,48.54054054054054,4.318184045072265,44.48745857277637,1.4119091010641933,5,44.222356495468276
LONG,vs_ma20 >= 28.01,vs_ma20,>=,28.011420662620257,3216,51.679104477611936,3.0797979205869908,868,51.728110599078335,7.505754103610059,44.481232125551564,4.3009528078236885,5,44.222356495468276
LONG,vol_ratio >= 1.506,vol_ratio,>=,1.5062059014780986,9647,49.91188970664455,1.3125831496196056,5636,47.24982256919802,3.027466073729741,44.40632967060784,0.7959423454713467,5,44.222356495468276
LONG,vol_ratio >= 1.343,vol_ratio,>=,1.3425671735027858,12862,50.19437101539418,1.5950644583692366,7759,46.75860291274649,2.536246417278214,44.33554020966955,0.5723420149331242,5,44.222356495468276
LONG,bb_pos >= 0.8779,bb_pos,>=,0.8779401945188195,9647,51.425313568985175,2.826007011960229,4970,47.32394366197183,3.101587166503556,44.29667851944906,0.9876594697513703,5,44.222356495468276
LONG,vol_ratio >= 1.506,vol_ratio,>=,1.5062059014780986,9647,51.40458173525448,2.794536017111433,5623,47.110083585274765,4.117938570169024,44.26423395531348,1.8517711598151094,10,42.99214501510574
LONG,body_ratio >= 0.8297,body_ratio,>=,0.8296585188129304,3260,49.75460122699387,1.1445555088508215,2084,48.896353166986565,5.904208151880823,44.222183043952995,0.5473188330341412,10,42.99214501510574
LONG,size_vs_atr >= 1.694,size_vs_atr,>=,1.694208422331016,6459,49.79098931723177,1.180943599088721,3354,47.70423375074538,4.7120887356396395,44.02155275736008,1.885431244835127,10,42.99214501510574
LONG,body_ratio >= 0.8899,body_ratio,>=,0.8899431321220217,1304,50.38343558282209,1.7733898646790394,748,51.7379679144385,8.745822899332758,43.94128849086212,1.329110242292214,10,42.99214501510574
LONG,cc_ret <= -6.112,cc_ret,<=,-6.112283838146626,6514,52.04175621737795,3.431710499234903,2753,47.94769342535416,4.955548410248419,43.88423212248334,0.2897182960852342,10,42.99214501510574
LONG,vol_ratio >= 1.343,vol_ratio,>=,1.3425671735027858,12862,51.36059710775929,2.7505513896162412,7739,46.27212818193565,3.2799831668299078,43.84876534552028,1.329716780461382,10,42.99214501510574
LONG,body_pct <= -6.114,body_pct,<=,-6.113607994928348,6519,52.0631998772818,3.453154159138748,2758,47.89702683103698,4.90488181593124,43.83772128634222,0.2654541488590742,10,42.99214501510574
LONG,size_vs_atr >= 1.479,size_vs_atr,>=,1.4786458400565374,9688,50.402559867877784,1.7925141497347354,5367,46.543692938326814,3.5515479232210723,43.63525858378902,1.473486459370599,10,42.99214501510574
LONG,lower_wick <= 0.0315,lower_wick,<=,0.031497836419097654,3260,49.325153374233125,0.7151076560900762,2190,47.89954337899543,4.9073983638896905,43.34992582962177,0.2659777922554802,10,42.99214501510574
LONG,cc_ret <= -4.526,cc_ret,<=,-4.525706803587854,9771,51.22300685702589,2.612961138882838,5087,46.17652840574012,3.1843833906343804,43.19266548817415,0.22216662881074598,10,42.99214501510574
