direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
SHORT,upper_shadow > 0.32765 AND bb_width_14 > 0.04097 AND hma_9_slope ≤ 0.01095 AND vix > 30.66,91.3,69,1.32,69.3,SOLUSDT,5m
LONG,vol_48 > 0.00778 AND ret_1 ≤ -0.01114 AND vs_sma12 > -0.02224 AND vol_12 > 0.0166,91.3,46,1.35,67.7,BNBUSDT,1h
LONG,atr ≤ 0.0265 AND vol_ratio_24 ≤ 1.00193 AND vs_pivot ≤ -0.2728 AND three_crows ≤ 0.5 AND skew_96 ≤ 0.75384,91.2,114,1.24,73.6,BTCUSDT,4h
SHORT,htf_4h_atr ≤ 0.03371 AND vs_sma96 > 0.05712 AND vol_96 ≤ 0.01063 AND vol_288 ≤ 0.00861 AND bb_width_20 > 0.08223,90.9,55,1.4,64.8,BNBUSDT,1h
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c ≤ -0.0015 AND cmf_14 ≤ -0.19843 AND vs_s3 ≤ -0.34739,90.9,33,1.05,86.5,XRPUSDT,5m
LONG,atr > 0.02274 AND ret_3 > -0.0258 AND obv_slope > -0.20807 AND htf_4h_rsi_14 > 0.44427 AND rsi_24 ≤ 0.50374,90.8,173,1.29,70.2,SOLUSDT,1h
LONG,atr7 ≤ 0.02809 AND vol_ratio_12 > 0.69653 AND vol_ratio_24 > 1.25923 AND vol_24 > 0.00817 AND gap > -0.0002,90.7,204,1.17,77.6,XRPUSDT,4h
SHORT,vol_48 ≤ 0.01095 AND htf_4h_bb_pos_20 ≤ 1.32117 AND gap > -0.00032 AND ret_1 > 0.01607 AND bb_width_48 ≤ 0.11305,90.6,64,1.31,69.1,ADAUSDT,1h
SHORT,htf_4h_vs_sma96 > -0.08082 AND vol_24 > 0.00644 AND vs_sma288 > -0.04262 AND vol_ratio_12 > 1.25501 AND vol_ratio_12 ≤ 1.65452,90.6,32,1.4,64.6,BTCUSDT,1h
SHORT,ret_1 > 0.00421 AND htf_4h_adx > 0.18565 AND vs_low_20 > 0.01427 AND fractal_high ≤ 0.5 AND bb_width_20 > 0.08003,90.4,52,1.31,69.0,ADAUSDT,5m
LONG,atr > 0.00605 AND ret_2 ≤ -0.00186 AND ret_288 ≤ -0.02874 AND lr_dev_10 > -1.26739 AND lr_dev_10 > -0.05749,90.3,31,1.11,81.5,ETHUSDT,5m
LONG,atr > 0.02274 AND ret_3 ≤ -0.0258 AND body_ratio > 0.09581 AND vs_sma48 > -0.1045 AND htf_4h_rsi_14 > 0.40128,90.3,226,1.29,70.2,SOLUSDT,1h
SHORT,hl_vol ≤ 0.01886 AND ret_48 > 0.027 AND macd_12_26_hist ≤ 0.00416 AND body_ratio ≤ 0.63101 AND body_ratio > 0.26006,90.2,143,1.2,75.2,BNBUSDT,4h
SHORT,vol_24 > 0.01782 AND htf_4h_atr > 0.04038 AND htf_4h_ema50_vs_200 ≤ 0.20916 AND htf_4h_ema50_vs_200 > -0.27253,90.1,323,1.33,67.9,SOLUSDT,1h
SHORT,atr > 0.02669 AND vol_ratio_12 ≤ 0.4663 AND gold_ret20d > 0.0013,90.0,40,1.1,81.5,ADAUSDT,4h
SHORT,vol_ratio_12 > 0.63386 AND vol_ratio_48 > 1.67297 AND bb_width_48 > 0.05996 AND force_idx ≤ 1193.763 AND fractal_high ≤ 0.5,89.8,98,1.21,74.4,BTCUSDT,4h
LONG,lower_shadow ≤ 0.55941 AND vol_12 > 0.00289 AND fractal_low ≤ 0.5 AND atr28 > 0.01355 AND chop_28 ≤ 0.49185,89.7,68,1.28,70.3,ADAUSDT,5m
SHORT,atr ≤ 0.02764 AND hour_cos > 0.0 AND ret_5 ≤ 0.04674 AND vol_288 > 0.01836,89.6,48,1.15,78.1,ETHUSDT,4h
LONG,atr7 ≤ 0.02182 AND vs_sma576 ≤ -0.05787 AND vol_ratio_48 ≤ 0.86479 AND stoch_kd_9 ≤ -0.0162 AND vol_ratio_24 ≤ 0.54749,89.3,28,1.06,84.1,SOLUSDT,4h
SHORT,upper_shadow ≤ 0.32765 AND vs_low_20 ≤ 0.00428 AND hma_55_vs_c > 0.00033,89.3,28,1.29,69.3,SOLUSDT,5m
SHORT,upper_shadow > 0.32765 AND bb_width_14 ≤ 0.04097 AND htf_1h_rsi_14 ≤ 0.59237 AND vs_sma200 > 0.01168 AND upper_shadow ≤ 0.59412,89.2,139,1.29,69.3,SOLUSDT,5m
SHORT,upper_shadow > 0.35325 AND htf_1h_vs_sma96 ≤ -0.02983 AND vs_r3 ≤ -0.59218 AND htf_1h_rsi_14 > 0.21348 AND upper_shadow ≤ 0.56709,89.2,120,1.27,70.3,ETHUSDT,5m
SHORT,upper_shadow ≤ 0.35325 AND vs_low_55 > 0.01365 AND elder_bull_slope > 0.0044 AND htf_4h_rsi_14 > 0.47535 AND vs_sma96 > 0.03149,88.6,35,1.26,70.3,ETHUSDT,5m
SHORT,atr ≤ 0.02669 AND nasdaq_ret5d ≤ 0.01214 AND vol_48 > 0.01068 AND vol_ratio_96 > 0.34424 AND session_europe > 0.5,88.6,334,1.09,81.5,ADAUSDT,4h
SHORT,upper_shadow > 0.23274 AND vol_96 ≤ 0.00698 AND dc_pos_55 > 0.34662 AND htf_1h_cmf_14 ≤ 0.12587 AND force_idx ≤ 0.00167,88.6,105,1.19,74.3,XRPUSDT,5m
SHORT,vol_48 > 0.01701 AND vol_ratio_48 > 0.49581 AND vol_24 ≤ 0.02635 AND lower_shadow > 0.42721,88.5,26,1.28,69.0,ETHUSDT,1h
LONG,atr ≤ 0.02158 AND htf_4h_rsi_14 > 0.15781 AND vs_sma24 > -0.04925 AND htf_4h_rsi_14 > 0.66091 AND vs_sma48 ≤ 0.0518,88.5,87,1.27,69.7,ADAUSDT,1h
SHORT,atr7 ≤ 0.03319 AND inside_bar ≤ 0.5 AND fractal_high ≤ 0.5 AND ret_2 ≤ -0.00157 AND vol_ratio_48 > 0.59704,88.2,340,1.07,82.5,SOLUSDT,4h
