side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
SHORT,vs_ma200 >= -19.96,vs_ma200,>=,-19.95519520722369,343518,54.06790910519973,0.40158443608876127,228135,55.3663401056392,0.6896289909471847,54.9187661052628,0.26450926220956916,3,45.32328888530798
SHORT,dd_from_high >= -19.63,dd_from_high,>=,-19.631291405130565,329908,53.417316342737976,0.7247892025454163,220814,55.363337469544504,0.7744481330420641,54.90839503620262,0.30134271606581114,5,45.41111066349756
SHORT,rsi14 >= 31.9,rsi14,>=,31.902903139988815,331667,54.13260891195084,0.466284242839869,206262,55.37665687329707,0.6999457586050539,54.90593730591393,0.23363371910006123,3,45.32328888530798
SHORT,vs_ma200 >= -19.96,vs_ma200,>=,-19.95519520722369,343518,53.07465693209672,0.38212979190416263,228047,55.34999364166159,0.7611043051591508,54.902318690149386,0.30459838315748333,5,45.41111066349756
SHORT,vs_ma50 >= -9.776,vs_ma50,>=,-9.775923600356691,349728,53.31743526397658,0.6249081237840173,227816,55.34949257295361,0.7606032364511677,54.90159006696048,0.2972186611171196,5,45.41111066349756
SHORT,bb_pos >= 0.2025,bb_pos,>=,0.20252878379610742,311973,53.846326444916706,1.1537993047241457,192819,55.37836001638843,0.7894706798859872,54.89149411238421,0.23546801395412253,5,45.41111066349756
SHORT,vs_ma20 >= -5.96,vs_ma20,>=,-5.959893915079806,350970,54.39581730632248,0.7294926372115071,228209,55.33129718810389,0.6545860734118705,54.88376475299265,0.2440338958716794,3,45.32328888530798
LONG,cc_ret <= -5.533,cc_ret,<=,-5.53339027127606,7816,53.90225179119754,7.568576460308513,2073,59.57549445248432,14.25220556717634,54.879856592021646,1.860925046776194,3,45.32328888530798
SHORT,upper_wick >= 0.5102,upper_wick,>=,0.5102040816326519,58631,53.427367774726676,0.7348406345341161,35821,55.9867117054242,1.3978223689217586,54.8570592283492,0.2901146049389769,5,45.41111066349756
SHORT,bb_width <= 6.345,bb_width,<=,6.344506809150321,77994,57.540323614637025,3.873998945526054,54987,55.76590830559951,1.0891971909074911,54.85413643876225,0.25085655546087876,3,45.32328888530798
SHORT,rsi14 >= 28.04,rsi14,>=,28.043455617993654,351177,53.052449334665994,0.3599221944734339,219226,55.28815012817822,0.6992607916757834,54.83149388448585,0.2745067071094498,5,45.41111066349756
SHORT,vs_ma200 >= -12.93,vs_ma200,>=,-12.927631556281137,305349,52.59620958313275,0.13165238468120322,196229,55.30884833536327,1.1610821507763944,54.826169403437476,0.3737184686643894,10,45.85223381541312
