entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2024-01-22,SHORT,39548.24,39350.49,tp,0.004025,1,0.8843
2024-01-23,SHORT,39877.65,39678.26,tp,0.004025,1,0.8709
2024-01-24,LONG,40104.92,39984.61,sl,-0.004,0,0.8529
2024-01-25,LONG,39981.07,40180.98,tp,0.004,1,0.8341
2024-01-26,SHORT,41802.6,41593.59,tp,0.004025,1,0.9505
2024-01-27,SHORT,42099.57,41889.07,tp,0.004025,1,0.8823
2024-01-28,SHORT,42010.04,42136.07,sl,-0.003991,0,0.8675
2024-01-29,SHORT,43281.05,43064.64,tp,0.004025,1,0.8861
2024-01-30,LONG,42962.57,43177.38,tp,0.004,1,0.8196
2024-01-31,LONG,42601.29,42814.3,tp,0.004,1,0.7518
2024-02-01,SHORT,43061.4,42846.09,tp,0.004025,1,0.8478
2024-02-02,SHORT,43178.4,42962.51,tp,0.004025,1,0.7359
2024-02-03,LONG,43032.6,42903.5,sl,-0.004,0,0.8312
2024-02-04,LONG,42604.17,42817.19,tp,0.004,1,0.8855
2024-02-05,SHORT,42687.35,42815.41,sl,-0.003991,0,0.7763
2024-02-06,SHORT,43077.4,42862.01,tp,0.004025,1,0.7947
2024-02-07,LONG,44371.77,44593.63,tp,0.004,1,0.8337
2024-02-08,SHORT,45266.01,45401.8,sl,-0.003991,0,0.7587
2024-02-09,SHORT,47109.2,46873.66,tp,0.004025,1,0.9084
2024-02-10,LONG,47774.97,48013.84,tp,0.004,1,0.7606
2024-02-11,LONG,48324.14,48565.76,tp,0.004,1,0.741
2024-02-12,LONG,49942.23,50191.94,tp,0.004,1,0.8883
2024-02-13,LONG,49724.44,49973.06,tp,0.004,1,0.8498
2024-02-14,SHORT,51769.27,51510.43,tp,0.004025,1,0.8889
2024-02-15,LONG,51905.94,52165.47,tp,0.004,1,0.8341
2024-02-16,LONG,52150.17,51993.72,sl,-0.004,0,0.8259
2024-02-17,LONG,51668.46,51926.8,tp,0.004,1,0.8736
2024-02-18,LONG,52163.74,52424.56,tp,0.004,1,0.8017
2024-02-19,SHORT,51748.84,51490.1,tp,0.004025,1,0.8589
2024-02-20,SHORT,52232.69,51971.53,tp,0.004025,1,0.8015
