feature,bin,n_train,edge_train,n_hold,edge_hold,wr_hold,wr_lo,wr_hi,mean_hold,group,same_sign,abs_hold
rsi14,"(72.625, 100.0]",6454,10.421214655429154,2945,5.787384537021839,44.61799660441426,42.83079901024136,46.41921699604396,5.243681800101133,[B]지표,True,5.787384537021839
bb_pos,"(-0.49, 0.0954]",6431,-3.821155841271734,4759,1.9821250017037637,46.33326329060727,44.92002602195114,47.75241557257932,1.4384222647830585,[B]지표,False,1.9821250017037637
bb_pos,"(0.0954, 0.202]",6431,-3.703928968113675,4881,-0.8609696318765933,40.97520999795124,39.603148196107156,42.361466582804006,-1.4046723687972984,[B]지표,True,0.8609696318765933
bb_pos,"(0.202, 0.282]",6431,-5.527709521982211,4346,-1.1182986119472345,42.06166589967786,40.60160768916779,43.53574572618416,-1.6620013488679395,[B]지표,True,1.1182986119472345
bb_pos,"(0.282, 0.366]",6430,-4.733406836209804,4602,-1.5693628513380116,38.83094306823121,37.43270200349087,40.24781571123038,-2.1130655882587166,[B]지표,True,1.5693628513380116
bb_pos,"(0.366, 0.471]",6431,-3.3432321246213728,4650,-3.169666026744343,35.72043010752688,34.35544865758617,37.10898622992698,-3.713368763665048,[B]지표,True,3.169666026744343
bb_pos,"(0.471, 0.591]",6431,0.21250905665821573,4038,-2.0170565982470516,37.295690936106986,35.816830907354586,38.79870078493143,-2.5607593351677567,[B]지표,False,2.0170565982470516
bb_pos,"(0.591, 0.704]",6430,2.737133243945017,3474,-0.7839698034134596,38.45710995970063,36.85292747067888,40.08679284320775,-1.3276725403341647,[B]지표,False,0.7839698034134596
bb_pos,"(0.704, 0.817]",6431,4.156005838866035,3155,0.9308456103529392,41.0459587955626,39.341339622111555,42.77235674050442,0.387142873432234,[B]지표,True,0.9308456103529392
bb_pos,"(0.817, 0.953]",6431,5.4948644519607885,3267,2.670079451042053,41.01622283440465,39.34107947910527,42.71246906326377,2.126376714121348,[B]지표,True,2.670079451042053
bb_pos,"(0.953, 1.557]",6431,8.528610286588627,3282,6.337125311697587,42.809262644728825,41.125788488668455,44.509550719405375,5.793422574776882,[B]지표,True,6.337125311697587
vs_ma20,"(-63.525999999999996, -14.917]",6431,-2.323145617795258,3272,0.5093889252186251,42.81784841075795,41.131766740905505,44.520775189082805,-0.03431381170208008,[B]지표,False,0.5093889252186251
vs_ma20,"(-14.917, -9.279]",6431,-6.900172404021911,4897,-1.0711095834475675,39.6160914845824,38.254848380872616,40.993613760813425,-1.6148123203682725,[B]지표,True,1.0711095834475675
vs_ma20,"(-9.279, -5.782]",6431,-5.102788446683446,5424,-1.4656683605546164,39.45427728613569,38.16145649475914,40.76202572329232,-2.0093710974753214,[B]지표,True,1.4656683605546164
vs_ma20,"(-5.782, -3.058]",6430,-3.5383655523798976,5034,-1.1530097416161342,40.78267779102106,39.432637561660236,42.146775336117244,-1.6967124785368393,[B]지표,True,1.1530097416161342
vs_ma20,"(-3.058, -0.616]",6431,-3.132647888965151,4559,-1.2885366742135917,40.99583241939022,39.576309055867526,42.43051756726135,-1.8322394111342968,[B]지표,True,1.2885366742135917
vs_ma20,"(-0.616, 2.084]",6431,-1.050156095556348,4383,-0.535073314290356,41.86630161989505,40.41349603916241,43.33335271872299,-1.0787760512110611,[B]지표,True,0.535073314290356
vs_ma20,"(2.084, 5.346]",6430,0.691686086366107,4155,0.32406180111042693,40.40914560770156,38.92656006169937,41.90944965793026,-0.2196409358102782,[B]지표,True,0.32406180111042693
vs_ma20,"(5.346, 9.868]",6431,0.9421799772586281,3514,1.3302680004133294,39.385315879339785,37.78223212910052,41.01158280560262,0.7865652634926242,[B]지표,True,1.3302680004133294
vs_ma20,"(9.868, 17.996]",6431,3.6290375419049408,3044,2.2849978712520276,38.73193166885677,37.016611912261276,40.47565671482223,1.7412951343313223,[B]지표,True,2.2849978712520276
vs_ma20,"(17.996, 402.641]",6431,16.78392975028968,2173,5.787221477629182,40.68108605614358,38.633818631411756,42.76124474848689,5.243518740708477,[B]지표,True,5.787221477629182
vs_ma50,"(-72.65100000000001, -24.651]",6293,-3.4123669368257206,3140,0.07657009715619878,43.21656050955414,41.49317338451581,44.95652560795252,-0.46713263976450636,[B]지표,False,0.07657009715619878
vs_ma50,"(-24.651, -16.282]",6293,-5.673969498616784,5664,-1.5710627064777847,39.565677966101696,38.29967211468248,40.8458283523736,-2.1147654433984897,[B]지표,True,1.5710627064777847
vs_ma50,"(-16.282, -10.877]",6293,-5.9348007008330015,5055,-0.2548174769370858,41.22650840751731,39.876686485727916,42.589655215898006,-0.7985202138577909,[B]지표,True,0.2548174769370858
vs_ma50,"(-10.877, -6.368]",6292,-5.4600884779842795,4692,0.07644811905916943,42.327365728900254,40.920457171607936,43.74682802813135,-0.4672546178615357,[B]지표,False,0.07644811905916943
vs_ma50,"(-6.368, -2.009]",6293,-2.323899835604331,4799,-0.7178950079142951,41.071056470097936,39.68682103482512,42.46957571163431,-1.2615977448350002,[B]지표,True,0.7178950079142951
vs_ma50,"(-2.009, 3.146]",6293,-2.0567444186911126,5045,-0.0743454790364837,41.38751238850347,40.035454950634644,42.752676093127945,-0.6180482159571888,[B]지표,True,0.0743454790364837
vs_ma50,"(3.146, 9.673]",6292,-0.48347818899289763,4593,0.7778370163893682,40.67058567385151,39.25831773694758,42.09844687290977,0.23413427946866308,[B]지표,False,0.7778370163893682
vs_ma50,"(9.673, 18.549]",6293,1.9010359346236791,3246,1.3103857632197402,38.32409118915589,36.66628880562621,40.00949748500407,0.7666830262990351,[B]지표,True,1.3103857632197402
